日付,始値,高値,安値,終値
2022/4/27,127.244,128.589,126.926,128.418
2022/4/26,128.154,128.222,127.023,127.241
2022/4/25,128.459,128.864,127.514,128.13
2022/4/22,128.344,129.11,127.728,128.547
2022/4/21,127.896,128.706,127.804,128.355
2022/4/20,128.9,129.399,127.449,127.841
2022/4/19,126.977,128.971,126.968,128.893
2022/4/18,126.422,126.993,126.231,126.99
2022/4/15,125.869,126.681,125.833,126.35
2022/4/14,125.602,126.007,125.083,125.887
2022/4/13,125.319,126.319,125.313,125.665
2022/4/12,125.346,125.757,124.753,125.4
2022/4/11,124.226,125.769,124.186,125.39
2022/4/8,123.926,124.674,123.669,124.274
2022/4/7,123.754,124.002,123.47,123.969
2022/4/6,123.529,124.052,123.448,123.786
2022/4/5,122.783,123.667,122.367,123.601
2022/4/4,122.54,122.957,122.257,122.758
2022/4/1,121.642,123.037,121.637,122.559
2022/3/31,121.826,122.45,121.278,121.707
2022/3/30,122.861,123.206,121.309,121.823
2022/3/29,123.654,124.305,121.972,122.886
2022/3/28,122.031,125.092,122.014,123.919
2022/3/25,122.32,122.435,121.172,122.092
2022/3/24,121.139,122.411,120.953,122.352
2022/3/23,120.764,121.415,120.594,121.141
2022/3/22,119.459,121.03,119.432,120.816
2022/3/21,119.121,119.498,119.088,119.482
2022/3/18,118.58,119.4,118.469,119.152
2022/3/17,118.699,119.026,118.363,118.607
2022/3/16,118.274,119.123,118.175,118.761
2022/3/15,118.108,118.45,117.699,118.287
2022/3/14,117.323,118.217,117.304,118.195
2022/3/11,116.11,117.356,116.098,117.293
2022/3/10,115.822,116.196,115.801,116.135
2022/3/9,115.647,115.941,115.555,115.859
2022/3/8,115.267,115.788,115.236,115.661
2022/3/7,114.904,115.472,114.799,115.313
2022/3/4,115.459,115.555,114.645,114.85
2022/3/3,115.519,115.806,115.384,115.455
2022/3/2,114.87,115.685,114.793,115.511
2022/3/1,114.965,115.288,114.699,114.893
2022/2/28,115.222,115.754,114.857,114.963
2022/2/25,115.524,115.76,115.149,115.533
2022/2/24,114.972,115.695,114.407,115.529
2022/2/23,115.035,115.199,114.923,115.026
2022/2/22,114.728,115.241,114.499,115.074
2022/2/21,115.006,115.123,114.722,114.755
2022/2/18,114.882,115.299,114.788,115.04
2022/2/17,115.442,115.534,114.841,114.934
2022/2/16,115.576,115.788,115.346,115.446
2022/2/15,115.498,115.873,115.258,115.611
2022/2/14,115.33,115.747,115.009,115.544
2022/2/11,115.982,116.174,115.008,115.441
2022/2/10,115.511,116.337,115.482,116
